"No.","Time","Source","Destination","Protocol","Length","Info"
"284","7.872245155","192.168.126.128","192.168.18.7","TCP","74","47758  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2525495957 TSecr=0 WS=128"
"285","7.872375680","192.168.126.128","192.168.18.7","TCP","74","38848  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2525495957 TSecr=0 WS=128"
"286","7.872423029","192.168.126.128","192.168.18.7","TCP","74","33160  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2525495957 TSecr=0 WS=128"
"287","7.873640380","192.168.18.7","192.168.126.128","TCP","60","22  >  38848 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"288","7.873703268","192.168.126.128","192.168.18.7","TCP","54","38848  >  22 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"289","7.873933484","192.168.126.128","192.168.18.7","TCP","54","38848  >  22 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"303","8.973213776","192.168.126.128","192.168.18.7","TCP","74","33172  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2525497058 TSecr=0 WS=128"
"304","8.973297975","192.168.126.128","192.168.18.7","TCP","74","47760  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2525497058 TSecr=0 WS=128"
"326","9.909705749","192.168.18.7","192.168.126.128","TCP","60","21  >  33160 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"333","10.423938254","192.168.18.7","192.168.126.128","TCP","60","23  >  47758 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"334","11.029901697","192.168.18.7","192.168.126.128","TCP","60","21  >  33172 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"335","11.029902047","192.168.18.7","192.168.126.128","TCP","60","23  >  47760 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
