"No.","Time","Source","Destination","Protocol","Length","Info"
"93","4.043188973","192.168.126.128","192.168.18.7","ICMP","42","Echo (ping) request  id=0x1809, seq=0/0, ttl=51 (reply in 98)"
"94","4.043265517","192.168.126.128","192.168.18.7","TCP","58","56572  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"95","4.043293209","192.168.126.128","192.168.18.7","TCP","54","56572  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"96","4.043320299","192.168.126.128","192.168.18.7","ICMP","54","Timestamp request    id=0x5d5c, seq=0/0, ttl=43"
"97","4.044292364","192.168.18.7","192.168.126.128","TCP","60","80  >  56572 [RST] Seq=1 Win=32767 Len=0"
"98","4.044292675","192.168.18.7","192.168.126.128","ICMP","60","Echo (ping) reply    id=0x1809, seq=0/0, ttl=128 (request in 93)"
"107","4.127006017","192.168.126.128","192.168.18.7","UDP","42","56828  >  19283 Len=0"
"108","4.127082511","192.168.126.128","192.168.18.7","UDP","42","56828  >  19936 Len=0"
"109","4.127111866","192.168.126.128","192.168.18.7","UDP","42","56828  >  16786 Len=0"
"110","4.127138516","192.168.126.128","192.168.18.7","UDP","42","56828  >  18373 Len=0"
"111","4.127166679","192.168.126.128","192.168.18.7","UDP","42","56828  >  17673 Len=0"
"112","4.127193729","192.168.126.128","192.168.18.7","UDP","42","56828  >  49163 Len=0"
"113","4.127221041","192.168.126.128","192.168.18.7","UDP","42","56828  >  18835 Len=0"
"114","4.127251347","192.168.126.128","192.168.18.7","UDP","42","56828  >  21568 Len=0"
"115","4.127279701","192.168.126.128","192.168.18.7","UDP","42","56828  >  1048 Len=0"
"116","4.127306651","192.168.126.128","192.168.18.7","UDP","42","56828  >  3 Len=0"
"132","5.229332443","192.168.126.128","192.168.18.7","UDP","42","56829  >  3 Len=0"
"133","5.229388208","192.168.126.128","192.168.18.7","UDP","42","56829  >  1048 Len=0"
"134","5.229416591","192.168.126.128","192.168.18.7","UDP","42","56829  >  21568 Len=0"
"135","5.229444003","192.168.126.128","192.168.18.7","UDP","42","56829  >  18835 Len=0"
"136","5.229470883","192.168.126.128","192.168.18.7","UDP","42","56829  >  49163 Len=0"
"137","5.229498756","192.168.126.128","192.168.18.7","UDP","42","56829  >  17673 Len=0"
"138","5.229528321","192.168.126.128","192.168.18.7","UDP","42","56829  >  18373 Len=0"
"139","5.229557846","192.168.126.128","192.168.18.7","UDP","42","56829  >  16786 Len=0"
"140","5.229584486","192.168.126.128","192.168.18.7","UDP","42","56829  >  19936 Len=0"
"141","5.229610916","192.168.126.128","192.168.18.7","UDP","42","56829  >  19283 Len=0"
"142","5.329725381","192.168.126.128","192.168.18.7","UDP","42","56828  >  49216 Len=0"
"143","5.329781536","192.168.126.128","192.168.18.7","UDP","42","56828  >  41702 Len=0"
"144","5.329810120","192.168.126.128","192.168.18.7","UDP","42","56828  >  17091 Len=0"
"145","5.329837221","192.168.126.128","192.168.18.7","UDP","42","56828  >  6000 Len=0"
"146","5.329863651","192.168.126.128","192.168.18.7","UDP","42","56828  >  26872 Len=0"
"147","5.329890170","192.168.126.128","192.168.18.7","UDP","42","56828  >  25546 Len=0"
"148","5.329916961","192.168.126.128","192.168.18.7","UDP","42","56828  >  593 Len=0"
"149","5.329945815","192.168.126.128","192.168.18.7","UDP","42","56828  >  49208 Len=0"
"150","5.329972625","192.168.126.128","192.168.18.7","UDP","42","56828  >  34579 Len=0"
"151","5.329999425","192.168.126.128","192.168.18.7","UDP","42","56828  >  67 Len=0"
"152","5.430126631","192.168.126.128","192.168.18.7","TCP","54","56839  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"153","5.430191313","192.168.126.128","192.168.18.7","UDP","42","56829  >  67 Len=0"
"154","5.430220217","192.168.126.128","192.168.18.7","UDP","42","56829  >  34579 Len=0"
"155","5.430251796","192.168.126.128","192.168.18.7","UDP","42","56829  >  49208 Len=0"
"156","5.430279438","192.168.126.128","192.168.18.7","UDP","42","56829  >  593 Len=0"
"157","5.430306208","192.168.126.128","192.168.18.7","UDP","42","56829  >  25546 Len=0"
"158","5.430305917","192.168.18.7","192.168.126.128","TCP","60","80  >  56839 [RST] Seq=1 Win=32767 Len=0"
"159","5.430332848","192.168.126.128","192.168.18.7","UDP","42","56829  >  26872 Len=0"
"160","5.430359669","192.168.126.128","192.168.18.7","UDP","42","56829  >  6000 Len=0"
"161","5.430386749","192.168.126.128","192.168.18.7","UDP","42","56829  >  17091 Len=0"
"162","5.430413820","192.168.126.128","192.168.18.7","UDP","42","56829  >  41702 Len=0"
"163","5.433075476","192.168.126.128","192.168.18.7","UDP","42","56829  >  49216 Len=0"
"164","5.433136069","192.168.126.128","192.168.18.7","UDP","42","56828  >  21405 Len=0"
"165","5.433164202","192.168.126.128","192.168.18.7","UDP","42","56828  >  19503 Len=0"
"166","5.433192195","192.168.126.128","192.168.18.7","UDP","42","56828  >  9103 Len=0"
"167","5.433219085","192.168.126.128","192.168.18.7","UDP","42","56828  >  9876 Len=0"
"168","5.433246066","192.168.126.128","192.168.18.7","UDP","42","56828  >  19933 Len=0"
"169","5.433274620","192.168.126.128","192.168.18.7","UDP","42","56828  >  944 Len=0"
"170","5.433301590","192.168.126.128","192.168.18.7","UDP","42","56828  >  19722 Len=0"
"171","5.433328150","192.168.126.128","192.168.18.7","UDP","42","56828  >  19096 Len=0"
"172","5.433355592","192.168.126.128","192.168.18.7","UDP","42","56828  >  18156 Len=0"
"173","5.433382201","192.168.126.128","192.168.18.7","UDP","42","56828  >  17616 Len=0"
"174","5.433409162","192.168.126.128","192.168.18.7","UDP","42","56828  >  16708 Len=0"
"175","5.433436383","192.168.126.128","192.168.18.7","UDP","42","56828  >  35794 Len=0"
"176","5.433462983","192.168.126.128","192.168.18.7","UDP","42","56828  >  54094 Len=0"
"177","5.433497227","192.168.126.128","192.168.18.7","UDP","42","56828  >  19600 Len=0"
"178","5.433524448","192.168.126.128","192.168.18.7","UDP","42","56828  >  51905 Len=0"
"179","5.433552511","192.168.126.128","192.168.18.7","UDP","42","56828  >  6001 Len=0"
"180","5.433580153","192.168.126.128","192.168.18.7","UDP","42","56828  >  45685 Len=0"
"181","5.433607194","192.168.126.128","192.168.18.7","UDP","42","56828  >  42172 Len=0"
"182","5.433634705","192.168.126.128","192.168.18.7","UDP","42","56828  >  21344 Len=0"
"183","5.433661446","192.168.126.128","192.168.18.7","UDP","42","56828  >  16838 Len=0"
"184","5.433687875","192.168.126.128","192.168.18.7","UDP","42","56828  >  50708 Len=0"
"185","5.433715617","192.168.126.128","192.168.18.7","UDP","42","56828  >  26966 Len=0"
"186","5.433742207","192.168.126.128","192.168.18.7","UDP","42","56828  >  65024 Len=0"
"187","5.433768727","192.168.126.128","192.168.18.7","UDP","42","56828  >  1081 Len=0"
"188","5.433795337","192.168.126.128","192.168.18.7","UDP","42","56828  >  4008 Len=0"
"189","5.433821646","192.168.126.128","192.168.18.7","UDP","42","56828  >  24910 Len=0"
"190","5.433848136","192.168.126.128","192.168.18.7","UDP","42","56828  >  1067 Len=0"
"191","5.433877251","192.168.126.128","192.168.18.7","UDP","42","56828  >  23679 Len=0"
"192","5.433904241","192.168.126.128","192.168.18.7","UDP","42","56828  >  19707 Len=0"
"193","5.433930741","192.168.126.128","192.168.18.7","UDP","42","56828  >  18832 Len=0"
"194","5.433957151","192.168.126.128","192.168.18.7","UDP","42","56828  >  22739 Len=0"
"195","5.433983911","192.168.126.128","192.168.18.7","UDP","42","56828  >  16839 Len=0"
"196","5.434018897","192.168.126.128","192.168.18.7","UDP","42","56828  >  53037 Len=0"
"197","5.434078739","192.168.126.128","192.168.18.7","XDMCP","49","Query"
"198","5.434114476","192.168.126.128","192.168.18.7","UDP","42","56828  >  21702 Len=0"
"199","5.434149812","192.168.126.128","192.168.18.7","UDP","42","56828  >  20003 Len=0"
"200","5.434184187","192.168.126.128","192.168.18.7","UDP","42","56828  >  497 Len=0"
