"No.","Time","Source","Destination","Protocol","Length","Info"
"355","24.000518384","192.168.126.128","10.136.28.34","ICMP","42","Echo (ping) request  id=0x8d8d, seq=0/0, ttl=49 (reply in 360)"
"356","24.000689867","192.168.126.128","10.136.28.34","TCP","58","59264  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"357","24.000813810","192.168.126.128","10.136.28.34","TCP","54","59264  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"358","24.000918337","192.168.126.128","10.136.28.34","ICMP","54","Timestamp request    id=0xec84, seq=0/0, ttl=54"
"359","24.001359864","10.136.28.34","192.168.126.128","TCP","60","80  >  59264 [RST] Seq=1 Win=32767 Len=0"
"360","24.001686359","10.136.28.34","192.168.126.128","ICMP","60","Echo (ping) reply    id=0x8d8d, seq=0/0, ttl=128 (request in 355)"
"368","24.060729907","192.168.126.128","10.136.28.34","TCP","74","50732  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450069 TSecr=0 WS=128"
"369","24.060867426","192.168.126.128","10.136.28.34","TCP","74","56522  >  110 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450069 TSecr=0 WS=128"
"370","24.060984376","192.168.126.128","10.136.28.34","TCP","74","34478  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450069 TSecr=0 WS=128"
"371","24.061106316","192.168.126.128","10.136.28.34","TCP","74","39276  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450069 TSecr=0 WS=128"
"372","24.061228857","192.168.126.128","10.136.28.34","TCP","74","55504  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450069 TSecr=0 WS=128"
"373","24.061366576","192.168.126.128","10.136.28.34","TCP","74","47676  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450069 TSecr=0 WS=128"
"374","24.061497433","192.168.126.128","10.136.28.34","TCP","74","52750  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450070 TSecr=0 WS=128"
"375","24.061626255","192.168.126.128","10.136.28.34","TCP","74","42830  >  1025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450070 TSecr=0 WS=128"
"376","24.061751211","192.168.126.128","10.136.28.34","TCP","74","33248  >  111 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450070 TSecr=0 WS=128"
"377","24.061911252","192.168.126.128","10.136.28.34","TCP","74","46598  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450070 TSecr=0 WS=128"
"378","24.063341426","10.136.28.34","192.168.126.128","TCP","60","111  >  33248 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"379","24.063385439","192.168.126.128","10.136.28.34","TCP","54","33248  >  111 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"381","24.063926839","192.168.126.128","10.136.28.34","TCP","54","33248  >  111 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"382","24.064178643","192.168.126.128","10.136.28.34","TCP","74","39354  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450072 TSecr=0 WS=128"
"383","24.064320541","192.168.126.128","10.136.28.34","TCP","74","56036  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258450072 TSecr=0 WS=128"
"392","25.064112672","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 46598  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451072 TSecr=0 WS=128"
"393","25.064340641","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 42830  >  1025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451072 TSecr=0 WS=128"
"394","25.064401446","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 52750  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451073 TSecr=0 WS=128"
"395","25.064461609","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 47676  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451073 TSecr=0 WS=128"
"396","25.064520620","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 55504  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451073 TSecr=0 WS=128"
"397","25.064583208","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 39276  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451073 TSecr=0 WS=128"
"398","25.064642379","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 34478  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451073 TSecr=0 WS=128"
"399","25.095851680","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 56036  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451104 TSecr=0 WS=128"
"400","25.096030006","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 39354  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451104 TSecr=0 WS=128"
"401","25.162615175","192.168.126.128","10.136.28.34","TCP","74","56044  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451171 TSecr=0 WS=128"
"402","25.162906564","192.168.126.128","10.136.28.34","TCP","74","39358  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451171 TSecr=0 WS=128"
"403","25.163092845","192.168.126.128","10.136.28.34","TCP","74","46600  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451171 TSecr=0 WS=128"
"404","25.163208894","192.168.126.128","10.136.28.34","TCP","74","42844  >  1025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451171 TSecr=0 WS=128"
"405","25.163335382","192.168.126.128","10.136.28.34","TCP","74","52764  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258451171 TSecr=0 WS=128"
