"No.","Time","Source","Destination","Protocol","Length","Info"
"73","6.816293078","192.168.126.128","10.136.28.34","ICMP","42","Echo (ping) request  id=0xa1ff, seq=0/0, ttl=46 (reply in 78)"
"74","6.816397123","192.168.126.128","10.136.28.34","TCP","58","57839  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"75","6.816457687","192.168.126.128","10.136.28.34","TCP","54","57839  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"76","6.816521156","192.168.126.128","10.136.28.34","ICMP","54","Timestamp request    id=0x8e83, seq=0/0, ttl=38"
"77","6.817232499","10.136.28.34","192.168.126.128","TCP","60","80  >  57839 [RST] Seq=1 Win=32767 Len=0"
"78","6.817232849","10.136.28.34","192.168.126.128","ICMP","60","Echo (ping) reply    id=0xa1ff, seq=0/0, ttl=128 (request in 73)"
"90","6.876115483","192.168.126.128","10.136.28.34","TCP","54","58095  >  8080 [FIN] Seq=1 Win=1024 Len=0"
"91","6.876224066","192.168.126.128","10.136.28.34","TCP","54","58095  >  135 [FIN] Seq=1 Win=1024 Len=0"
"92","6.876257489","192.168.126.128","10.136.28.34","TCP","54","58095  >  111 [FIN] Seq=1 Win=1024 Len=0"
"93","6.876290591","192.168.126.128","10.136.28.34","TCP","54","58095  >  3389 [FIN] Seq=1 Win=1024 Len=0"
"94","6.876318073","192.168.126.128","10.136.28.34","TCP","54","58095  >  587 [FIN] Seq=1 Win=1024 Len=0"
"95","6.876349682","192.168.126.128","10.136.28.34","TCP","54","58095  >  53 [FIN] Seq=1 Win=1024 Len=0"
"96","6.876382664","192.168.126.128","10.136.28.34","TCP","54","58095  >  21 [FIN] Seq=1 Win=1024 Len=0"
"97","6.876414584","192.168.126.128","10.136.28.34","TCP","54","58095  >  22 [FIN] Seq=1 Win=1024 Len=0"
"98","6.876443708","192.168.126.128","10.136.28.34","TCP","54","58095  >  25 [FIN] Seq=1 Win=1024 Len=0"
"99","6.876474196","192.168.126.128","10.136.28.34","TCP","54","58095  >  23 [FIN] Seq=1 Win=1024 Len=0"
"123","7.977623606","192.168.126.128","10.136.28.34","TCP","54","58096  >  23 [FIN] Seq=1 Win=1024 Len=0"
"124","7.977670363","192.168.126.128","10.136.28.34","TCP","54","58096  >  25 [FIN] Seq=1 Win=1024 Len=0"
"125","7.977697995","192.168.126.128","10.136.28.34","TCP","54","58096  >  22 [FIN] Seq=1 Win=1024 Len=0"
