"No.","Time","Source","Destination","Protocol","Length","Info"
"558","35.615558316","192.168.126.128","10.136.28.34","ICMP","42","Echo (ping) request  id=0x0047, seq=0/0, ttl=48 (reply in 562)"
"559","35.615632175","192.168.126.128","10.136.28.34","TCP","58","52258  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"560","35.615660799","192.168.126.128","10.136.28.34","TCP","54","52258  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"561","35.615691506","192.168.126.128","10.136.28.34","ICMP","54","Timestamp request    id=0xdc08, seq=0/0, ttl=48"
"562","35.616530977","10.136.28.34","192.168.126.128","ICMP","60","Echo (ping) reply    id=0x0047, seq=0/0, ttl=128 (request in 558)"
"563","35.616531438","10.136.28.34","192.168.126.128","TCP","60","80  >  52258 [RST] Seq=1 Win=32767 Len=0"
"574","35.671255926","192.168.126.128","10.136.28.34","TCP","58","52514  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"575","35.671362246","192.168.126.128","10.136.28.34","TCP","58","52514  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"576","35.671426576","192.168.126.128","10.136.28.34","TCP","58","52514  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"577","35.673235773","10.136.28.34","192.168.126.128","TCP","60","22  >  52514 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"579","35.673301917","192.168.126.128","10.136.28.34","TCP","54","52514  >  22 [RST] Seq=1 Win=0 Len=0"
"591","36.773323213","192.168.126.128","10.136.28.34","TCP","58","52515  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"592","36.773377095","192.168.126.128","10.136.28.34","TCP","58","52515  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"618","37.661987059","10.136.28.34","192.168.126.128","TCP","60","443  >  52258 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"621","37.724530260","10.136.28.34","192.168.126.128","TCP","60","23  >  52514 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"622","37.724530380","10.136.28.34","192.168.126.128","TCP","60","21  >  52514 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"633","38.826347633","10.136.28.34","192.168.126.128","TCP","60","23  >  52515 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"634","38.826347964","10.136.28.34","192.168.126.128","TCP","60","21  >  52515 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
