"No.","Time","Source","Destination","Protocol","Length","Info"
"227","5.275980785","192.168.126.128","10.136.28.34","ICMP","42","Echo (ping) request  id=0xe845, seq=0/0, ttl=57 (no response found!)"
"228","5.276121647","192.168.126.128","10.136.28.34","TCP","58","48851  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"229","5.276225076","192.168.126.128","10.136.28.34","TCP","54","48851  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"230","5.276326712","192.168.126.128","10.136.28.34","ICMP","54","Timestamp request    id=0x9f6c, seq=0/0, ttl=49"
"231","5.277091697","10.136.28.34","192.168.126.128","TCP","60","80  >  48851 [RST] Seq=1 Win=32767 Len=0"
"243","5.359225879","192.168.126.128","10.136.28.34","TCP","58","49107  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"244","5.359372933","192.168.126.128","10.136.28.34","TCP","58","49107  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"245","5.359474859","192.168.126.128","10.136.28.34","TCP","58","49107  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"246","5.359575674","192.168.126.128","10.136.28.34","TCP","58","49107  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"247","5.359680225","192.168.126.128","10.136.28.34","TCP","58","49107  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"248","5.359781681","192.168.126.128","10.136.28.34","TCP","58","49107  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"249","5.359886774","192.168.126.128","10.136.28.34","TCP","58","49107  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"250","5.359987277","192.168.126.128","10.136.28.34","TCP","58","49107  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"251","5.360089505","192.168.126.128","10.136.28.34","TCP","58","49107  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"252","5.360190720","192.168.126.128","10.136.28.34","TCP","58","49107  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"253","5.361906133","10.136.28.34","192.168.126.128","TCP","60","111  >  49107 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"254","5.361949767","192.168.126.128","10.136.28.34","TCP","54","49107  >  111 [RST] Seq=1 Win=0 Len=0"
"255","5.362474158","10.136.28.34","192.168.126.128","TCP","60","22  >  49107 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"256","5.362509235","192.168.126.128","10.136.28.34","TCP","54","49107  >  22 [RST] Seq=1 Win=0 Len=0"
"257","5.365090433","192.168.126.128","10.136.28.34","TCP","58","49107  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"258","5.365241365","192.168.126.128","10.136.28.34","TCP","58","49107  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"259","5.365344443","192.168.126.128","10.136.28.34","TCP","58","49107  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"262","5.365712072","192.168.126.128","10.136.28.34","TCP","58","49107  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"275","6.460777652","192.168.126.128","10.136.28.34","TCP","58","49108  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"276","6.460934104","192.168.126.128","10.136.28.34","TCP","58","49108  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"277","6.461045850","192.168.126.128","10.136.28.34","TCP","58","49108  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
