"No.","Time","Source","Destination","Protocol","Length","Info"
"214","4.097152230","192.168.126.128","10.136.28.34","ICMP","42","Echo (ping) request  id=0x924f, seq=0/0, ttl=59 (reply in 218)"
"215","4.097223416","192.168.126.128","10.136.28.34","TCP","58","49749  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"216","4.097251269","192.168.126.128","10.136.28.34","TCP","54","49749  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"217","4.097279052","192.168.126.128","10.136.28.34","ICMP","54","Timestamp request    id=0x95f0, seq=0/0, ttl=38"
"218","4.098103126","10.136.28.34","192.168.126.128","ICMP","60","Echo (ping) reply    id=0x924f, seq=0/0, ttl=128 (request in 214)"
"219","4.098103427","10.136.28.34","192.168.126.128","TCP","60","80  >  49749 [RST] Seq=1 Win=32767 Len=0"
"229","4.165692522","192.168.126.128","10.136.28.34","Portmap","82","V104316 proc-0 Call (Reply In 239)"
"230","4.165830566","192.168.126.128","10.136.28.34","UDP","42","50005  >  22341 Len=0"
"231","4.165894227","192.168.126.128","10.136.28.34","UDP","42","50005  >  36893 Len=0"
"232","4.165921589","192.168.126.128","10.136.28.34","UDP","42","50005  >  1040 Len=0"
"233","4.165950404","192.168.126.128","10.136.28.34","UDP","42","50005  >  682 Len=0"
"234","4.165977366","192.168.126.128","10.136.28.34","UDP","42","50005  >  5500 Len=0"
"235","4.166004287","192.168.126.128","10.136.28.34","UDP","42","50005  >  20146 Len=0"
"236","4.166031368","192.168.126.128","10.136.28.34","UDP","72","50005  >  626 Len=30"
"237","4.166058500","192.168.126.128","10.136.28.34","UDP","42","50005  >  120 Len=0"
"238","4.166085412","192.168.126.128","10.136.28.34","UDP","42","50005  >  19933 Len=0"
"239","4.167961509","10.136.28.34","192.168.126.128","Portmap","74","V104316 proc-0 Reply (Call In 229)"
"240","4.168022546","192.168.126.128","10.136.28.34","ICMP","102","Destination unreachable (Port unreachable)"
"241","4.170767090","192.168.126.128","10.136.28.34","RADIUS","62","Access-Request id=0"
"242","4.170816354","192.168.126.128","10.136.28.34","UDP","42","50005  >  22695 Len=0"
"281","5.268205129","192.168.126.128","10.136.28.34","UDP","42","50006  >  22695 Len=0"
"282","5.268268069","192.168.126.128","10.136.28.34","RADIUS","62","Access-Request id=0"
"283","5.268295762","192.168.126.128","10.136.28.34","UDP","42","50006  >  19933 Len=0"
"284","5.268323705","192.168.126.128","10.136.28.34","UDP","42","50006  >  120 Len=0"
"285","5.268353602","192.168.126.128","10.136.28.34","UDP","72","50006  >  626 Len=30"
"286","5.268381145","192.168.126.128","10.136.28.34","UDP","42","50006  >  20146 Len=0"
"287","5.268422734","192.168.126.128","10.136.28.34","UDP","42","50006  >  5500 Len=0"
"288","5.268450878","192.168.126.128","10.136.28.34","UDP","42","50006  >  682 Len=0"
"289","5.268477739","192.168.126.128","10.136.28.34","UDP","42","50006  >  1040 Len=0"
"290","5.268504720","192.168.126.128","10.136.28.34","UDP","42","50006  >  36893 Len=0"
"291","5.268535960","192.168.126.128","10.136.28.34","UDP","42","50006  >  22341 Len=0"
"292","5.368540954","192.168.126.128","10.136.28.34","UDP","42","50005  >  21212 Len=0"
"293","5.368594396","192.168.126.128","10.136.28.34","UDP","42","50005  >  17674 Len=0"
"294","5.368621808","192.168.126.128","10.136.28.34","UDP","42","50005  >  21 Len=0"
"295","5.368649381","192.168.126.128","10.136.28.34","UDP","42","50005  >  61550 Len=0"
"296","5.368675631","192.168.126.128","10.136.28.34","UDP","42","50005  >  49205 Len=0"
"297","5.368701801","192.168.126.128","10.136.28.34","UDP","42","50005  >  16829 Len=0"
"298","5.368728031","192.168.126.128","10.136.28.34","UDP","42","50005  >  20742 Len=0"
"299","5.368755052","192.168.126.128","10.136.28.34","UDP","42","50005  >  24910 Len=0"
"300","5.368781052","192.168.126.128","10.136.28.34","UDP","42","50005  >  39683 Len=0"
"301","5.371434813","192.168.126.128","10.136.28.34","UDP","42","50005  >  64481 Len=0"
"302","5.371485780","192.168.126.128","10.136.28.34","UDP","42","50005  >  518 Len=0"
"303","5.469560889","192.168.126.128","10.136.28.34","Portmap","82","[RPC retransmission of #229]V104316 proc-0 Call (Reply In 239)"
"304","5.469655960","192.168.126.128","10.136.28.34","UDP","42","50006  >  39683 Len=0"
"305","5.469716525","192.168.126.128","10.136.28.34","UDP","42","50006  >  24910 Len=0"
"306","5.469774135","192.168.126.128","10.136.28.34","UDP","42","50006  >  20742 Len=0"
