"No.","Time","Source","Destination","Protocol","Length","Info"
"57","1.812845305","192.168.126.128","192.168.18.7","ICMP","42","Echo (ping) request  id=0x414d, seq=0/0, ttl=41 (reply in 62)"
"58","1.812910187","192.168.126.128","192.168.18.7","TCP","58","63035  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"59","1.812937558","192.168.126.128","192.168.18.7","TCP","54","63035  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"60","1.812965741","192.168.126.128","192.168.18.7","ICMP","54","Timestamp request    id=0x27b2, seq=0/0, ttl=50"
"61","1.813745998","192.168.18.7","192.168.126.128","TCP","60","80  >  63035 [RST] Seq=1 Win=32767 Len=0"
"62","1.814191664","192.168.18.7","192.168.126.128","ICMP","60","Echo (ping) reply    id=0x414d, seq=0/0, ttl=128 (request in 57)"
"71","1.884916085","192.168.126.128","192.168.18.7","TCP","74","38662  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526067300 TSecr=0 WS=128"
"72","1.884990445","192.168.126.128","192.168.18.7","TCP","74","53648  >  995 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526067300 TSecr=0 WS=128"
"73","1.885056178","192.168.126.128","192.168.18.7","TCP","74","57900  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526067300 TSecr=0 WS=128"
"74","1.885098708","192.168.126.128","192.168.18.7","TCP","74","36554  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526067300 TSecr=0 WS=128"
"75","1.885142000","192.168.126.128","192.168.18.7","TCP","74","45560  >  554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526067300 TSecr=0 WS=128"
"76","1.885184630","192.168.126.128","192.168.18.7","TCP","74","51982  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526067300 TSecr=0 WS=128"
"77","1.885227019","192.168.126.128","192.168.18.7","TCP","74","33508  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526067300 TSecr=0 WS=128"
"78","1.885268788","192.168.126.128","192.168.18.7","TCP","74","53182  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526067300 TSecr=0 WS=128"
"79","1.885314934","192.168.126.128","192.168.18.7","TCP","74","34492  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526067300 TSecr=0 WS=128"
"80","1.885356452","192.168.126.128","192.168.18.7","TCP","74","55284  >  5900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526067300 TSecr=0 WS=128"
"91","2.908023709","192.168.126.128","192.168.18.7","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 55284  >  5900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068323 TSecr=0 WS=128"
"92","2.908128616","192.168.126.128","192.168.18.7","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 34492  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068323 TSecr=0 WS=128"
"93","2.908182788","192.168.126.128","192.168.18.7","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 53182  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068323 TSecr=0 WS=128"
"94","2.908243582","192.168.126.128","192.168.18.7","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 33508  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068323 TSecr=0 WS=128"
"95","2.908304075","192.168.126.128","192.168.18.7","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 51982  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068323 TSecr=0 WS=128"
"96","2.908364529","192.168.126.128","192.168.18.7","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 45560  >  554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068323 TSecr=0 WS=128"
"97","2.908425033","192.168.126.128","192.168.18.7","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 36554  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068323 TSecr=0 WS=128"
"98","2.908485115","192.168.126.128","192.168.18.7","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 57900  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068323 TSecr=0 WS=128"
"99","2.908517005","192.168.126.128","192.168.18.7","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 53648  >  995 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068323 TSecr=0 WS=128"
"102","2.986787358","192.168.126.128","192.168.18.7","TCP","74","55296  >  5900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068402 TSecr=0 WS=128"
"103","2.986866025","192.168.126.128","192.168.18.7","TCP","74","34502  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068402 TSecr=0 WS=128"
"104","2.986908736","192.168.126.128","192.168.18.7","TCP","74","53188  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068402 TSecr=0 WS=128"
"105","2.986950935","192.168.126.128","192.168.18.7","TCP","74","33512  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068402 TSecr=0 WS=128"
