"No.","Time","Source","Destination","Protocol","Length","Info"
"63","1.945569547","192.168.126.128","192.168.18.7","ICMP","42","Echo (ping) request  id=0xedb3, seq=0/0, ttl=56 (reply in 68)"
"64","1.945702897","192.168.126.128","192.168.18.7","TCP","58","46098  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"65","1.945734276","192.168.126.128","192.168.18.7","TCP","54","46098  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"66","1.945762399","192.168.126.128","192.168.18.7","ICMP","54","Timestamp request    id=0x8684, seq=0/0, ttl=49"
"67","1.947239963","192.168.18.7","192.168.126.128","TCP","60","80  >  46098 [RST] Seq=1 Win=32767 Len=0"
"68","1.947240314","192.168.18.7","192.168.126.128","ICMP","60","Echo (ping) reply    id=0xedb3, seq=0/0, ttl=128 (request in 63)"
"76","2.013481724","192.168.126.128","192.168.18.7","TCP","54","46354  >  21 [FIN] Seq=1 Win=1024 Len=0"
"77","2.013543841","192.168.126.128","192.168.18.7","TCP","54","46354  >  554 [FIN] Seq=1 Win=1024 Len=0"
"78","2.013571052","192.168.126.128","192.168.18.7","TCP","54","46354  >  1025 [FIN] Seq=1 Win=1024 Len=0"
"79","2.013597291","192.168.126.128","192.168.18.7","TCP","54","46354  >  22 [FIN] Seq=1 Win=1024 Len=0"
"80","2.013623941","192.168.126.128","192.168.18.7","TCP","54","46354  >  8080 [FIN] Seq=1 Win=1024 Len=0"
"81","2.013650240","192.168.126.128","192.168.18.7","TCP","54","46354  >  143 [FIN] Seq=1 Win=1024 Len=0"
"82","2.013681679","192.168.126.128","192.168.18.7","TCP","54","46354  >  993 [FIN] Seq=1 Win=1024 Len=0"
"83","2.013707939","192.168.126.128","192.168.18.7","TCP","54","46354  >  995 [FIN] Seq=1 Win=1024 Len=0"
"84","2.013738276","192.168.126.128","192.168.18.7","TCP","54","46354  >  3389 [FIN] Seq=1 Win=1024 Len=0"
"85","2.013765707","192.168.126.128","192.168.18.7","TCP","54","46354  >  1723 [FIN] Seq=1 Win=1024 Len=0"
"95","3.115250386","192.168.126.128","192.168.18.7","TCP","54","46355  >  1723 [FIN] Seq=1 Win=1024 Len=0"
"96","3.115311811","192.168.126.128","192.168.18.7","TCP","54","46355  >  3389 [FIN] Seq=1 Win=1024 Len=0"
"97","3.115338611","192.168.126.128","192.168.18.7","TCP","54","46355  >  995 [FIN] Seq=1 Win=1024 Len=0"
"98","3.115365091","192.168.126.128","192.168.18.7","TCP","54","46355  >  993 [FIN] Seq=1 Win=1024 Len=0"
"99","3.115394667","192.168.126.128","192.168.18.7","TCP","54","46355  >  143 [FIN] Seq=1 Win=1024 Len=0"
"100","3.115424322","192.168.126.128","192.168.18.7","TCP","54","46355  >  8080 [FIN] Seq=1 Win=1024 Len=0"
"101","3.115455090","192.168.126.128","192.168.18.7","TCP","54","46355  >  22 [FIN] Seq=1 Win=1024 Len=0"
"102","3.115483574","192.168.126.128","192.168.18.7","TCP","54","46355  >  1025 [FIN] Seq=1 Win=1024 Len=0"
"103","3.115516285","192.168.126.128","192.168.18.7","TCP","54","46355  >  554 [FIN] Seq=1 Win=1024 Len=0"
"104","3.115545670","192.168.126.128","192.168.18.7","TCP","54","46355  >  21 [FIN] Seq=1 Win=1024 Len=0"
"105","3.215874735","192.168.126.128","192.168.18.7","TCP","54","46354  >  135 [FIN] Seq=1 Win=1024 Len=0"
"106","3.215931421","192.168.126.128","192.168.18.7","TCP","54","46354  >  23 [FIN] Seq=1 Win=1024 Len=0"
