"No.","Time","Source","Destination","Protocol","Length","Info"
"1834","82.790856539","192.168.126.128","10.136.28.34","ICMP","42","Echo (ping) request  id=0xfa34, seq=0/0, ttl=37 (reply in 1838)"
"1835","82.790967488","192.168.126.128","10.136.28.34","TCP","58","33486  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1836","82.790996924","192.168.126.128","10.136.28.34","TCP","54","33486  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"1837","82.791024756","192.168.126.128","10.136.28.34","ICMP","54","Timestamp request    id=0xfcb9, seq=0/0, ttl=54"
"1838","82.791977429","10.136.28.34","192.168.126.128","ICMP","60","Echo (ping) reply    id=0xfa34, seq=0/0, ttl=128 (request in 1834)"
"1839","82.791977809","10.136.28.34","192.168.126.128","TCP","60","80  >  33486 [RST] Seq=1 Win=32767 Len=0"
"1847","82.871144034","192.168.126.128","10.136.28.34","UDP","42","33742  >  9877 Len=0"
"1848","82.871285701","192.168.126.128","10.136.28.34","UDP","42","33742  >  19022 Len=0"
"1849","82.871352608","192.168.126.128","10.136.28.34","UDP","42","33742  >  3130 Len=0"
"1850","82.871378937","192.168.126.128","10.136.28.34","UDP","42","33742  >  18255 Len=0"
"1851","82.871406509","192.168.126.128","10.136.28.34","UDP","42","33742  >  29078 Len=0"
"1852","82.871432669","192.168.126.128","10.136.28.34","UDP","42","33742  >  49180 Len=0"
"1853","82.871458538","192.168.126.128","10.136.28.34","UDP","42","33742  >  61481 Len=0"
"1854","82.871484747","192.168.126.128","10.136.28.34","UDP","42","33742  >  44968 Len=0"
"1855","82.871516317","192.168.126.128","10.136.28.34","UDP","42","33742  >  39888 Len=0"
"1856","82.871547906","192.168.126.128","10.136.28.34","UDP","42","33742  >  17824 Len=0"
"1861","83.973305113","192.168.126.128","10.136.28.34","UDP","42","33743  >  17824 Len=0"
"1862","83.973533454","192.168.126.128","10.136.28.34","UDP","42","33743  >  39888 Len=0"
"1863","83.973568991","192.168.126.128","10.136.28.34","UDP","42","33743  >  44968 Len=0"
"1864","83.973595491","192.168.126.128","10.136.28.34","UDP","42","33743  >  61481 Len=0"
"1865","83.973621911","192.168.126.128","10.136.28.34","UDP","42","33743  >  49180 Len=0"
"1866","83.973648130","192.168.126.128","10.136.28.34","UDP","42","33743  >  29078 Len=0"
"1867","83.973673849","192.168.126.128","10.136.28.34","UDP","42","33743  >  18255 Len=0"
"1868","83.973701601","192.168.126.128","10.136.28.34","UDP","42","33743  >  3130 Len=0"
"1869","83.973727570","192.168.126.128","10.136.28.34","UDP","42","33743  >  19022 Len=0"
"1870","83.973753709","192.168.126.128","10.136.28.34","UDP","42","33743  >  9877 Len=0"
"1882","84.073819226","192.168.126.128","10.136.28.34","UDP","42","33742  >  38063 Len=0"
"1883","84.073912141","192.168.126.128","10.136.28.34","UDP","42","33742  >  4000 Len=0"
"1884","84.073968337","192.168.126.128","10.136.28.34","UDP","42","33742  >  49208 Len=0"
"1885","84.074225833","192.168.126.128","10.136.28.34","UDP","42","33742  >  40708 Len=0"
"1886","84.074350739","192.168.126.128","10.136.28.34","UDP","42","33742  >  1885 Len=0"
"1887","84.074410972","192.168.126.128","10.136.28.34","UDP","42","33742  >  20249 Len=0"
"1888","84.074467429","192.168.126.128","10.136.28.34","UDP","42","33742  >  26872 Len=0"
"1889","84.074525348","192.168.126.128","10.136.28.34","UDP","42","33742  >  49168 Len=0"
"1890","84.074573970","192.168.126.128","10.136.28.34","UDP","42","33742  >  39683 Len=0"
"1891","84.074603706","192.168.126.128","10.136.28.34","UDP","42","33742  >  27707 Len=0"
"1905","84.174771126","192.168.126.128","10.136.28.34","UDP","42","33743  >  27707 Len=0"
"1906","84.174894138","192.168.126.128","10.136.28.34","UDP","42","33743  >  39683 Len=0"
"1907","84.174976253","192.168.126.128","10.136.28.34","UDP","42","33743  >  49168 Len=0"
"1908","84.175056775","192.168.126.128","10.136.28.34","UDP","42","33743  >  26872 Len=0"
"1909","84.175136796","192.168.126.128","10.136.28.34","UDP","42","33743  >  20249 Len=0"
"1910","84.175221807","192.168.126.128","10.136.28.34","UDP","42","33743  >  1885 Len=0"
"1911","84.175301788","192.168.126.128","10.136.28.34","UDP","42","33743  >  40708 Len=0"
"1912","84.175381137","192.168.126.128","10.136.28.34","UDP","42","33743  >  49208 Len=0"
"1913","84.175461289","192.168.126.128","10.136.28.34","UDP","42","33743  >  4000 Len=0"
"1914","84.175541660","192.168.126.128","10.136.28.34","UDP","42","33743  >  38063 Len=0"
"1915","84.275438633","192.168.126.128","10.136.28.34","UDP","42","33742  >  773 Len=0"
"1916","84.275495360","192.168.126.128","10.136.28.34","Portmap","82","V104316 proc-0 Call (Reply In 1923)"
"1917","84.275522571","192.168.126.128","10.136.28.34","UDP","42","33742  >  54094 Len=0"
"1918","84.275549071","192.168.126.128","10.136.28.34","UDP","42","33742  >  17989 Len=0"
"1919","84.275574920","192.168.126.128","10.136.28.34","UDP","42","33742  >  29810 Len=0"
"1920","84.275600608","192.168.126.128","10.136.28.34","UDP","42","33742  >  19624 Len=0"
"1921","84.275626287","192.168.126.128","10.136.28.34","UDP","42","33742  >  959 Len=0"
"1922","84.275653178","192.168.126.128","10.136.28.34","UDP","42","33742  >  40847 Len=0"
"1923","84.277064460","10.136.28.34","192.168.126.128","Portmap","74","V104316 proc-0 Reply (Call In 1916)"
"1924","84.277180028","192.168.126.128","10.136.28.34","ICMP","102","Destination unreachable (Port unreachable)"
"1925","84.279672362","192.168.126.128","10.136.28.34","UDP","42","33742  >  19605 Len=0"
"1926","84.279764196","192.168.126.128","10.136.28.34","UDP","42","33742  >  120 Len=0"
"1927","84.279823207","192.168.126.128","10.136.28.34","UDP","42","33742  >  20752 Len=0"
"1928","84.279879794","192.168.126.128","10.136.28.34","UDP","42","33742  >  63420 Len=0"
"1929","84.279935589","192.168.126.128","10.136.28.34","UDP","42","33742  >  17573 Len=0"
"1930","84.279988809","192.168.126.128","10.136.28.34","UDP","42","33742  >  28465 Len=0"
"1931","84.280018004","192.168.126.128","10.136.28.34","UDP","42","33742  >  683 Len=0"
"1932","84.280046538","192.168.126.128","10.136.28.34","UDP","42","33742  >  1087 Len=0"
"1933","84.280074110","192.168.126.128","10.136.28.34","UDP","42","33742  >  19315 Len=0"
"1934","84.280100270","192.168.126.128","10.136.28.34","UDP","42","33742  >  32769 Len=0"
"1935","84.280125908","192.168.126.128","10.136.28.34","UDP","42","33742  >  40441 Len=0"
"1936","84.280161656","192.168.126.128","10.136.28.34","UDP","42","33742  >  1993 Len=0"
"1937","84.280188286","192.168.126.128","10.136.28.34","UDP","42","33742  >  5003 Len=0"
"1938","84.280214044","192.168.126.128","10.136.28.34","UDP","42","33742  >  23679 Len=0"
"1939","84.280241817","192.168.126.128","10.136.28.34","UDP","42","33742  >  54114 Len=0"
"1940","84.280269199","192.168.126.128","10.136.28.34","UDP","42","33742  >  21674 Len=0"
"1941","84.280295047","192.168.126.128","10.136.28.34","UDP","42","33742  >  18582 Len=0"
"1942","84.280320716","192.168.126.128","10.136.28.34","UDP","42","33742  >  16433 Len=0"
"1943","84.280346424","192.168.126.128","10.136.28.34","UDP","42","33742  >  59846 Len=0"
"1944","84.280372183","192.168.126.128","10.136.28.34","UDP","42","33742  >  21868 Len=0"
"1945","84.280406407","192.168.126.128","10.136.28.34","UDP","42","33742  >  21655 Len=0"
"1946","84.280432096","192.168.126.128","10.136.28.34","UDP","42","33742  >  18807 Len=0"
"1947","84.280458195","192.168.126.128","10.136.28.34","UDP","42","33742  >  19227 Len=0"
"1948","84.280484485","192.168.126.128","10.136.28.34","UDP","42","33742  >  3401 Len=0"
"1949","84.280517527","192.168.126.128","10.136.28.34","UDP","42","33742  >  62958 Len=0"
"1950","84.280543186","192.168.126.128","10.136.28.34","XDMCP","49","Query"
"1951","84.280568864","192.168.126.128","10.136.28.34","UDP","42","33742  >  19995 Len=0"
"1952","84.280596777","192.168.126.128","10.136.28.34","UDP","42","33742  >  49202 Len=0"
"1953","84.280629228","192.168.126.128","10.136.28.34","UDP","42","33742  >  2048 Len=0"
"1954","84.280663332","192.168.126.128","10.136.28.34","RIPv1","66","Request"
"1955","84.280698789","192.168.126.128","10.136.28.34","UDP","42","33742  >  8193 Len=0"
"1956","84.280726251","192.168.126.128","10.136.28.34","UDP","42","33742  >  22045 Len=0"
"1957","84.280752611","192.168.126.128","10.136.28.34","UDP","42","33742  >  64080 Len=0"
"1958","84.280780764","192.168.126.128","10.136.28.34","UDP","42","33742  >  17302 Len=0"
"1959","84.280808927","192.168.126.128","10.136.28.34","UDP","42","33742  >  18980 Len=0"
"1960","84.280835207","192.168.126.128","10.136.28.34","UDP","42","33742  >  39213 Len=0"
"1961","84.280862188","192.168.126.128","10.136.28.34","UDP","42","33742  >  34579 Len=0"
"1962","84.280891763","192.168.126.128","10.136.28.34","UDP","42","33742  >  49503 Len=0"
"1963","84.280917452","192.168.126.128","10.136.28.34","UDP","42","33742  >  34079 Len=0"
"1964","84.280944042","192.168.126.128","10.136.28.34","UDP","42","33742  >  6002 Len=0"
"1965","84.280970282","192.168.126.128","10.136.28.34","UDP","42","33742  >  16829 Len=0"
"1966","84.281001961","192.168.126.128","10.136.28.34","UDP","42","33742  >  19283 Len=0"
"1967","84.376211214","192.168.126.128","10.136.28.34","UDP","42","33743  >  40847 Len=0"
"1968","84.376300372","192.168.126.128","10.136.28.34","UDP","42","33743  >  959 Len=0"
"1969","84.376327634","192.168.126.128","10.136.28.34","UDP","42","33743  >  19624 Len=0"
"1970","84.376353954","192.168.126.128","10.136.28.34","UDP","42","33743  >  29810 Len=0"
"1971","84.376379953","192.168.126.128","10.136.28.34","UDP","42","33743  >  17989 Len=0"
"1972","84.376407465","192.168.126.128","10.136.28.34","UDP","42","33743  >  54094 Len=0"
"1973","84.376433664","192.168.126.128","10.136.28.34","UDP","42","33743  >  773 Len=0"
"1974","84.380359973","192.168.126.128","10.136.28.34","UDP","42","33743  >  18582 Len=0"
"1975","84.380415267","192.168.126.128","10.136.28.34","UDP","42","33743  >  21674 Len=0"
"1976","84.380444002","192.168.126.128","10.136.28.34","UDP","42","33743  >  54114 Len=0"
"1977","84.380473908","192.168.126.128","10.136.28.34","UDP","42","33743  >  23679 Len=0"
"1978","84.380500869","192.168.126.128","10.136.28.34","UDP","42","33743  >  5003 Len=0"
"1979","84.380528982","192.168.126.128","10.136.28.34","UDP","42","33743  >  1993 Len=0"
"1980","84.380556384","192.168.126.128","10.136.28.34","UDP","42","33743  >  40441 Len=0"
"1981","84.380582433","192.168.126.128","10.136.28.34","UDP","42","33743  >  32769 Len=0"
"1982","84.380608512","192.168.126.128","10.136.28.34","UDP","42","33743  >  19315 Len=0"
"1983","84.380636064","192.168.126.128","10.136.28.34","UDP","42","33743  >  1087 Len=0"
"1984","84.380662544","192.168.126.128","10.136.28.34","UDP","42","33743  >  683 Len=0"
"1985","84.380688643","192.168.126.128","10.136.28.34","UDP","42","33743  >  28465 Len=0"
"1986","84.380714422","192.168.126.128","10.136.28.34","UDP","42","33743  >  17573 Len=0"
"1987","84.380752474","192.168.126.128","10.136.28.34","UDP","42","33743  >  63420 Len=0"
"1988","84.380778824","192.168.126.128","10.136.28.34","UDP","42","33743  >  20752 Len=0"
"1989","84.380805424","192.168.126.128","10.136.28.34","UDP","42","33743  >  120 Len=0"
"1990","84.380831643","192.168.126.128","10.136.28.34","UDP","42","33743  >  19605 Len=0"
"1991","84.383567827","192.168.126.128","10.136.28.34","UDP","42","33743  >  19283 Len=0"
"1992","84.383619084","192.168.126.128","10.136.28.34","UDP","42","33743  >  16829 Len=0"
"1993","84.383646405","192.168.126.128","10.136.28.34","UDP","42","33743  >  6002 Len=0"
"1994","84.383673917","192.168.126.128","10.136.28.34","UDP","42","33743  >  34079 Len=0"
"1995","84.383711719","192.168.126.128","10.136.28.34","UDP","42","33743  >  49503 Len=0"
"1996","84.383738108","192.168.126.128","10.136.28.34","UDP","42","33743  >  34579 Len=0"
"1997","84.383764428","192.168.126.128","10.136.28.34","UDP","42","33743  >  39213 Len=0"
"1998","84.383792521","192.168.126.128","10.136.28.34","UDP","42","33743  >  18980 Len=0"
"1999","84.383818881","192.168.126.128","10.136.28.34","UDP","42","33743  >  17302 Len=0"
"2000","84.383846793","192.168.126.128","10.136.28.34","UDP","42","33743  >  64080 Len=0"
"2001","84.383874446","192.168.126.128","10.136.28.34","UDP","42","33743  >  22045 Len=0"
"2002","84.383903821","192.168.126.128","10.136.28.34","UDP","42","33743  >  8193 Len=0"
"2003","84.383934800","192.168.126.128","10.136.28.34","RIPv1","66","Request"
"2004","84.383971960","192.168.126.128","10.136.28.34","UDP","42","33743  >  2048 Len=0"
"2005","84.383998299","192.168.126.128","10.136.28.34","UDP","42","33743  >  49202 Len=0"
"2006","84.384024439","192.168.126.128","10.136.28.34","UDP","42","33743  >  19995 Len=0"
"2007","84.384052191","192.168.126.128","10.136.28.34","XDMCP","49","Query"
"2008","84.384078871","192.168.126.128","10.136.28.34","UDP","42","33743  >  62958 Len=0"
"2009","84.384105261","192.168.126.128","10.136.28.34","UDP","42","33743  >  3401 Len=0"
"2010","84.384135388","192.168.126.128","10.136.28.34","UDP","42","33743  >  19227 Len=0"
"2011","84.384168320","192.168.126.128","10.136.28.34","UDP","42","33743  >  18807 Len=0"
