"No.","Time","Source","Destination","Protocol","Length","Info"
"492","34.092449178","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=1/256, ttl=64 (reply in 493)"
"493","34.094026819","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=1/256, ttl=128 (request in 492)"
"529","35.094504590","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=2/512, ttl=64 (reply in 530)"
"530","35.095574116","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=2/512, ttl=128 (request in 529)"
"552","36.096187476","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=3/768, ttl=64 (reply in 553)"
"553","36.097214778","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=3/768, ttl=128 (request in 552)"
"554","36.097874163","192.168.126.128","10.136.28.34","TCP","74","48610  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258690220 TSecr=0 WS=128"
"555","36.097990051","192.168.126.128","10.136.28.34","TCP","74","56484  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258690220 TSecr=0 WS=128"
"556","36.097992446","192.168.126.128","10.136.28.34","TCP","74","54454  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258690220 TSecr=0 WS=128"
"557","36.099252920","10.136.28.34","192.168.126.128","TCP","60","22  >  56484 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"558","36.099314616","192.168.126.128","10.136.28.34","TCP","54","56484  >  22 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"559","36.099496900","192.168.126.128","10.136.28.34","TCP","54","56484  >  22 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"560","36.099867684","10.136.28.34","192.168.126.128","TCP","60","22  >  56484 [ACK] Seq=1 Ack=2 Win=64239 Len=0"
"562","36.107055538","10.136.28.34","192.168.126.128","SSH","75","Server: Protocol (SSH-2.0-OpenSSH_7.4)"
"563","36.107095413","192.168.126.128","10.136.28.34","TCP","54","56484  >  22 [RST] Seq=2 Win=0 Len=0"
"571","37.109564899","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 54454  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258691232 TSecr=0 WS=128"
"572","37.110227961","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 48610  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258691232 TSecr=0 WS=128"
"606","38.133505811","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 48610  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258692256 TSecr=0 WS=128"
"607","38.133616199","192.168.126.128","10.136.28.34","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 54454  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2258692256 TSecr=0 WS=128"
"608","38.138932134","10.136.28.34","192.168.126.128","TCP","60","21  >  48610 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"609","38.138932585","10.136.28.34","192.168.126.128","TCP","60","23  >  54454 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
