"No.","Time","Source","Destination","Protocol","Length","Info"
"365","8.926721798","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=1/256, ttl=64 (reply in 366)"
"366","8.927687369","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=1/256, ttl=128 (request in 365)"
"388","9.928770558","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=2/512, ttl=64 (reply in 389)"
"389","9.929820163","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=2/512, ttl=128 (request in 388)"
"398","10.930302446","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=3/768, ttl=64 (reply in 399)"
"399","10.931390177","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=3/768, ttl=128 (request in 398)"
"400","10.932360057","192.168.126.128","10.136.28.34","TCP","54","80  >  21 [SYN] Seq=0 Win=65535 Len=0"
"401","10.932777189","192.168.126.128","10.136.28.34","TCP","54","80  >  22 [SYN] Seq=0 Win=65535 Len=0"
"402","10.933521942","192.168.126.128","10.136.28.34","TCP","54","80  >  23 [SYN] Seq=0 Win=65535 Len=0"
"416","12.982506159","10.136.28.34","192.168.126.128","TCP","60","22  >  80 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"417","12.982542417","192.168.126.128","10.136.28.34","TCP","54","80  >  22 [RST] Seq=1 Win=0 Len=0"
"442","15.030094787","10.136.28.34","192.168.126.128","SSH","75","Server: Protocol (SSH-2.0-OpenSSH_7.4)"
"443","15.030135764","192.168.126.128","10.136.28.34","TCP","54","80  >  22 [RST] Seq=1 Win=0 Len=0"
