"No.","Time","Source","Destination","Protocol","Length","Info"
"28","3.418181511","192.168.126.128","192.168.18.7","ICMP","118","Echo (ping) request  id=0x0050, seq=1/256, ttl=64 (reply in 29)"
"29","3.419065716","192.168.18.7","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=1/256, ttl=128 (request in 28)"
"58","4.419576917","192.168.126.128","192.168.18.7","ICMP","118","Echo (ping) request  id=0x0050, seq=2/512, ttl=64 (reply in 59)"
"59","4.420728852","192.168.18.7","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=2/512, ttl=128 (request in 58)"
"96","5.421607369","192.168.126.128","192.168.18.7","ICMP","118","Echo (ping) request  id=0x0050, seq=3/768, ttl=64 (reply in 97)"
"97","5.422524124","192.168.18.7","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=3/768, ttl=128 (request in 96)"
"98","5.423362620","192.168.126.128","192.168.18.7","TCP","54","80  >  21 [SYN] Seq=0 Win=65535 Len=0"
"99","5.423411042","192.168.126.128","192.168.18.7","TCP","54","80  >  23 [SYN] Seq=0 Win=65535 Len=0"
"100","5.423570057","192.168.126.128","192.168.18.7","TCP","54","80  >  22 [SYN] Seq=0 Win=65535 Len=0"
"129","9.504222430","192.168.18.7","192.168.126.128","TCP","60","22  >  80 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"130","9.504251745","192.168.126.128","192.168.18.7","TCP","54","80  >  22 [RST] Seq=1 Win=0 Len=0"
